mlb_id,mlb_name,mlb_pos,bats,throws,birth_date,bp_id,bref_id,bref_name,cbs_id,cbs_name,cbs_pos,espn_id,espn_name,espn_pos,fg_id,fg_name,fg_pos,lahman_id,nfbc_id,nfbc_name,nfbc_pos,retro_id,retro_name,yahoo_id,yahoo_name,ottoneu_id,ottoneu_name,ottoneu_pos,rotowire_id,rotowire_name,rotowire_pos,
621294,Ben Heller,P,R,R,8/5/1991,,hellebe01,Ben Heller,,,,,,,,,,,,,,,,,,,,,,,,
594902,Ben Lively,P,R,R,3/5/1992,68781,livelbe01,Ben Lively,2117048,Ben Lively,RP,33194,Ben Lively,SP,14932,Ben Lively,P,livelbe01,9881,Ben Lively,P,liveb001,Ben Lively,9881,Ben Lively,18332,Ben Lively,SP/RP,13215,Ben Lively,P,
656738,Ben Meyer,P,L,R,1/30/1993,106474,meyerbe02,Ben Meyer,2914672,Ben Meyer,RP,39911,Ben Meyer,RP,18854,Ben Meyer,P,meyerbe02,11039,Ben Meyer,P,meyeb002,Ben Meyer,,,20411,Ben Meyer,SP/RP,15274,Ben Meyer,P,
572019,Ben Paulsen,1B,L,R,10/27/1987,60645,paulsbe01,Ben Paulsen,1800287,Ben Paulsen,1B,31045,Ben Paulsen,1B,9741,Ben Paulsen,1B,paulsbe01,9770,Ben Paulsen,1B,paulb001,Ben Paulsen,9770,Ben Paulsen,4758,Ben Paulsen,Util,11046,Ben Paulsen,1B,
519184,Ben Revere,OF,L,R,5/3/1988,56615,reverbe01,Ben Revere,1630089,Ben Revere,LF,29976,Ben Revere,LF,4712,Ben Revere,OF,reverbe01,8687,Ben Revere,CF,reveb001,Ben Revere,8687,Ben Revere,5079,Ben Revere,Util,9882,Ben Revere,OF,
594985,Ben Rowen,P,R,R,11/15/1988,67863,rowenbe01,Ben Rowen,2046498,Ben Rowen,RP,32869,Ben Ramon Rowen,RP,10983,Ben Rowen,P,rowenbe01,9731,Ben Rowen,P,roweb001,Ben Rowen,9731,Ben Rowen,13706,Ben Rowen,SP/RP,12722,Ben Rowen,P,
664701,Ben Taylor,P,R,R,11/12/1992,106995,taylobe10,Ben Taylor,2624306,Ben Taylor,RP,36129,Ben Taylor,RP,18114,Ben Taylor,P,taylobe03,10667,Ben Taylor,P,taylb002,Ben Taylor,10667,Ben Taylor,22760,Ben Taylor,RP,14734,Ben Taylor,P,
450314,Ben Zobrist,2B,S,R,5/26/1981,45495,zobribe01,Ben Zobrist,1099014,Ben Zobrist,2B,28536,Ben Zobrist,RF,7435,Ben Zobrist,2B/OF,zobribe01,7829,Ben Zobrist,2B,zobrb001,Ben Zobrist,7829,Ben Zobrist,4083,Ben Zobrist,2B/OF,8816,Ben Zobrist,2B,
656986,Bennett Sousa,P,L,L,4/6/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,
641576,Bernardo Flores Jr.,P,L,L,8/23/1995,,florebe01,Bernardo Flores Jr.,,,,,,,,,,,,,,,,,,,,,,,,
435538,Bill Bray,P,L,L,6/5/1983,45609,braybi01,Bill Bray,547589,Bill Bray,RP,6487,Bill Bray,RP,8538,Bill Bray,P,braybi01,7716,Bill Bray,P,brayb001,Bill Bray,7716,Bill Bray,4219,Bill Bray,RP,,,,
434438,Billy Buckner,P,R,R,8/27/1983,47164,bucknbi02,Billy Buckner,530352,Billy Buckner,SP,28859,Billy Buckner,SP,8253,Billy Buckner,P,bucknbi02,8094,Billy Buckner,P,buckb002,Billy Buckner,8094,Billy Buckner,3215,Billy Buckner,RP,,,,
542993,Billy Burns,CF,S,R,8/30/1989,70296,burnsbi02,Billy Burns,2046042,Billy Burns,CF,32860,Billy Burns,CF,12701,Billy Burns,OF,burnsbi02,9773,Billy Burns,CF,burnb002,Billy Burns,9773,Billy Burns,18313,Billy Burns,OF,12685,Billy Burns,OF,
